Macroárea,Área de Estudo,Nome,Gênero,Bolsa PQ,Instituição,Estado da Instituição,Região da Instituição
Ciências da Vida,Medicina Veterinária,Marco Antonio de Andrade Belo,Homem,PQ-C,UNIVBRASIL,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Marcos Amaku,Homem,PQ-1C,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Marcos Antonio Lemos de Oliveira,Homem,PQ-2,UFRPE,PE,Nordeste
Ciências da Vida,Medicina Veterinária,Marcos Bryan Heinemann,Homem,PQ-1B,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Marcos Rogério André,Homem,PQ-1A,UNESP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Marcus Antônio Rossi Feliciano,Homem,PQ-A,USP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Margot Alves Nunes Dode,Mulher,PQ-1D,EMBRAPA,DF,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Maria Anete Lallo,Mulher,PQ-2,UNIP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Maria Angelica Miglino,Mulher,PQ-A,HU/Marília,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Maria Aparecida Scatamburlo Moreira,Mulher,PQ-2,UFV,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Maria Clorinda Soares Fioravanti,Mulher,PQ-C,UFG,GO,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Maria Helena Tavares de Matos,Mulher,PQ-1C,UNIVASF,PE,Nordeste
Ciências da Vida,Medicina Veterinária,Maria Jaqueline Mamprim,Mulher,PQ-1D,UNESP,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Maria Lucia Gomes Lourenço,Mulher,PQ-C,FMVZ,SP,Sudeste
Ciências da Vida,Medicina Veterinária,Maria Lucia Zaidan Dagli,Mulher,PQ-A,USP,SP,Sudeste
Ciências Humanas e Sociais Aplicadas,Antropologia,Rita Laura Segato de Carvalho,Mulher,PQ-SR,UnB,DF,Centro-Oeste
Ciências da Vida,Medicina Veterinária,Mariana Machado Neves,Mulher,PQ-1D,UFV,MG,Sudeste
Ciências da Vida,Medicina Veterinária,Mariana Martins Flores,Mulher,PQ-2,UFSM,RS,Sul
